2024-09-02T00:29:56.252Z [INFO]  appPackageInfo: 68
2024-09-02T00:29:56.254Z [INFO]  appPackageInfo: 59
2024-09-02T00:29:56.257Z [INFO]  appPackageInfo: 51
2024-09-02T00:29:56.274Z [INFO]  Usage upload(patch) complete
2024-09-02T00:29:56.277Z [INFO]  appPackageInfo: 2
2024-09-02T00:29:56.283Z [INFO]  appPackageInfo: 47
2024-09-02T00:29:56.293Z [INFO]  appPackageInfo: 0
2024-09-02T00:29:56.294Z [INFO]  'browser app version: ', 0
2024-09-02T00:29:56.302Z [INFO]  Setup STT
2024-09-02T00:29:56.311Z [INFO]  boot... ok
.................
2024-09-02T00:51:30.778Z [INFO]  [Actor.Robot]handle event - ASSIGN
2024-09-02T00:51:31.525Z [INFO]  [Actor.Robot]handle event - ASSIGN
2024-09-02T00:51:33.008Z [INFO]  [Actor.Robot]handle event - ASSIGN
2024-09-02T00:51:33.916Z [INFO]  [NetInfo] wifi true
2024-09-02T00:51:33.982Z [ERROR]  'Socket disconnected: ', 'transport error'
2024-09-02T00:51:33.985Z [WARN]  clearListeners!
2024-09-02T00:51:34.007Z [INFO]  Try login with robotToken
